Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two
Food Cloud,New Delhi,Cuisine Varies,0.0,500
Burger.in,New Delhi,Fast Food,3.2,350
Days of the Raj,New Delhi,"North Indian, Seafood, Continental",3.4,1500
Dilli Ka Dhaba,New Delhi,"South Indian, North Indian",2.6,500
Govardhan,New Delhi,"South Indian, North Indian, Chinese",3.4,500
Mezbaan Grills,New Delhi,Mughlai,3.1,400
Say Cheese,New Delhi,Fast Food,2.7,400
Southy,New Delhi,South Indian,2.6,450
Monosoz,New Delhi,Pizza,3.7,300
Waves,New Delhi,"North Indian, Chinese",3.5,1500
Delhi Darbar,New Delhi,"Chinese, North Indian",2.2,500
Chateau,New Delhi,"Mediterranean, Italian",4.0,1600
Nariyal Cafe,New Delhi,"Continental, Seafood, Goan, Andhra, Kerala, Thai",4.2,1200
Rustom's Parsi Bhonu,New Delhi,Parsi,4.2,1500
BarShala,New Delhi,Finger Food,3.2,600
Chawla'sÂ_,New Delhi,"North Indian, Mughlai",3.4,800
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.8,700
Sultanat,New Delhi,"North Indian, Chinese, Continental",3.7,1000
Bella Italia,New Delhi,"Fast Food, Italian, Pizza",3.2,550
Clever Fox Cafe,New Delhi,"North Indian, Continental, Chinese",3.2,900
365 Naturals,New Delhi,"Continental, North Indian, Fast Food, Street Food, South Indian",0.0,600
Tpot,New Delhi,Cafe,0.0,800
4 on 44 Restaurant & Bar,New Delhi,"North Indian, Chinese",2.6,1000
Rambhog,New Delhi,"Street Food, Mithai",3.3,200
Selfie Lounge Restro & Bar,New Delhi,"North Indian, Chinese",3.2,1500
BTW,New Delhi,"Street Food, South Indian, Mithai",3.4,400
Chilli Pepper,New Delhi,"North Indian, Chinese",3.3,900
Pizza Hut,New Delhi,"Italian, Pizza, Fast Food",2.6,1000
Puri Bakers,New Delhi,"Bakery, Fast Food",3.7,300
Jaiveer Naan & Chaap,New Delhi,"North Indian, Fast Food",2.2,500
Aggarwal's Sweets Paradise,New Delhi,"Mithai, North Indian, South Indian, Street Food",2.9,400
Bikaner Sweets,New Delhi,"Mithai, Street Food",3.3,200
Cafe Coffee Day,New Delhi,Cafe,3.2,450
Cakeophony By Sonali,New Delhi,Bakery,3.4,400
Chandra Sweets,New Delhi,"Mithai, North Indian, South Indian, Street Food",3.0,400
Chhotu Mashhoor Kathi Roll,New Delhi,Fast Food,2.7,150
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.2,350
Lazeez Restaurant,New Delhi,"Chinese, North Indian, Italian, Mughlai",3.0,600
Madhuvan Chinese Fast Food,New Delhi,Chinese,2.5,300
Mr Wong,New Delhi,"Chinese, Thai",3.2,800
Mughlai Shahi Rasoi,New Delhi,"North Indian, Mughlai",3.2,600
Mumbai Central Street Food,New Delhi,"Street Food, Fast Food, Beverages",3.1,400
Neha's Treat,New Delhi,Chinese,2.9,450
New Bakers Shoppee,New Delhi,"Bakery, Fast Food",3.2,200
Pant  Ice Cream Parlour,New Delhi,"Desserts, Ice Cream",3.3,150
PM 2 AM Food Bank,New Delhi,North Indian,2.5,500
Punjabi Chaap Corner,New Delhi,North Indian,2.9,250
Sartaj Food Corner,New Delhi,"North Indian, South Indian, Chinese",2.8,500
The Sugar Therapy,New Delhi,"Bakery, Desserts",3.4,450
Biryani Binge,New Delhi,"North Indian, Biryani",3.9,600
City of Joy,New Delhi,Bengali,3.9,800
Letz Roll,New Delhi,"Ice Cream, Desserts",3.6,250
Nukkad,New Delhi,"Chinese, Mughlai, North Indian",3.6,650
#InstaFreeze,New Delhi,Ice Cream,0.0,300
Aahar Meat and Chicken Shop,New Delhi,"Raw Meats, Fast Food",0.0,400
Food Cafe,New Delhi,"South Indian, North Indian, Chinese",0.0,350
Lazeez Restaurant,New Delhi,"Chinese, North Indian, Mughlai, Pizza",0.0,500
Lemon Chick,New Delhi,North Indian,0.0,500
Punjabi Chaap Corner,New Delhi,"Fast Food, North Indian",0.0,400
Purani Dilli Foods,New Delhi,Mughlai,0.0,600
Tandoori Kebab,New Delhi,North Indian,0.0,400
Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",2.4,800
Alaturka,New Delhi,Turkish,2.5,600
Amici Gourmet Pizza,New Delhi,"Pizza, Italian",3.1,800
Burger King,New Delhi,"Burger, Fast Food",3.2,500
Kylin Express,New Delhi,"Asian, Chinese",2.6,700
Big Fat Sandwich,New Delhi,American,3.5,800
Fashion Tv Cafe,New Delhi,"Continental, Chinese, North Indian",3.6,2200
Kylin Skybar,New Delhi,"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",3.6,2200
Lemon Drops,New Delhi,"North Indian, South Indian",3.9,500
Punjabi By Nature Express,New Delhi,"North Indian, Street Food, Mughlai",3.5,600
Red Mango,New Delhi,"Cafe, Desserts",3.7,700
Starbucks,New Delhi,Cafe,3.7,700
Peninsular Kitchen,New Delhi,"Seafood, South Indian, Andhra, Hyderabadi, Goan",4.2,1500
Mithapur,New Delhi,"Chinese, Fast Food, North Indian, South Indian",3.4,450
Diggin,New Delhi,"Italian, Continental, Cafe",4.2,1400
Aggarwal Sweet India,New Delhi,"Fast Food, North Indian, Chinese, Desserts",2.8,200
Banzara's,New Delhi,"Chinese, Fast Food",3.1,400
Bobby Tikki Wala,New Delhi,Street Food,2.8,150
Chennai Junction,New Delhi,South Indian,3.3,500
Chicken Bite,New Delhi,Fast Food,3.1,200
